StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,1,R,p2*,"k9, p2",*
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,2,W,k2*,"p9, k2",*
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,3,R,p2*,"k9, p2",*
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,4,W,k2*,"p9, k2",*
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,5,R,p2*,"k9, p2",*
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,6,W,k2*,"p9, k2",*
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,7,R,p2*,"RC, k3, p2",*
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,8,W,k2*,"p9, k2",*
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,9,R,p2*,"k9, p2",*
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,10,W,k2*,"p9, k2",*
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,11,R,p2*,"k3, LC, p2",*
1254,Three-strand Cable,Multiple of 11 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1254,12,W,k2*,"p9, k2",*
