StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Repeat
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,1,R,B,knit
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,2,W,B,"purl, then sl sts to the other end of the needle"
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,3,R,A,purl
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,4,W,A,"knit, then sl sts to other end of needle"
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,5,R,B,knit
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,6,W,B,"purl, then sl sts to the other end of the needle"
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,7,R,A,purl
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,8,W,B,purl
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,9,R,B,knit
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,10,W,A,purl
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,11,R,A,knit
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,12,W,B,purl
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,13,R,B,knit
481,Straight and Wavy Stripes,Multiple of 1 stitch,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=481,14,W,A,"purl, then sl sts to the other end of the needle"
